age,appearances,assists,birth_date,birthplace,career_summary,club,created_at,current_situation,display_name,goals,height_cm,id,last_verified_at,league,name,nationality,photo_storage_path,photo_url,position,preferred_foot,shirt_number,slug,source_url,status,strengths,team_id,updated_at,weight_kg
,,,1992-07-04,,,Tijuana,2026-05-17T20:16:47.744+00:00,,José Antonio Rodríguez,,,3819,,,José Antonio Rodríguez,Mexico,,,GK,,,jose-antonio-rodriguez,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:52.226+00:00,
,,,2003-09-01,,,Athletic Bilbao,2026-05-17T20:16:48.394+00:00,,Alex Padilla,,,3821,,,Alex Padilla,Mexico,,,GK,,,alex-padilla,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:52.789+00:00,
,,,1997-02-24,,,Lokomotiv Moscow,2026-05-17T20:16:49.009+00:00,,César Montes,,,3823,,,César Montes,Mexico,,,DF,,,cesar-montes,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:53.307+00:00,
,,,1998-10-22,,,Genoa,2026-05-17T20:16:49.542+00:00,,Johan Vásquez,,,3825,,,Johan Vásquez,Mexico,,,DF,,,johan-vasquez,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:53.831+00:00,
,,,1998-01-30,,,UANL,2026-05-17T20:16:50.062+00:00,,Jesús Alberto Angulo,,,3827,,,Jesús Alberto Angulo,Mexico,,,DF,,,jesus-alberto-angulo,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:54.377+00:00,
,,,2004-05-11,,,AZ,2026-05-17T20:16:50.583+00:00,,Mateo Chávez,,,3829,,,Mateo Chávez,Mexico,,,DF,,,mateo-chavez,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:54.903+00:00,
,,,2000-09-06,,,Guadalajara,2026-05-17T20:16:51.106+00:00,,Richard Ledezma,,,3831,,,Richard Ledezma,Mexico,,,DF,,,richard-ledezma,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:55.42+00:00,
,,,2003-08-15,,,Juárez,2026-05-17T20:16:51.978+00:00,,Denzell García,,,3833,,,Denzell García,Mexico,,,DF,,,denzell-garcia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:55.962+00:00,
,,,2001-05-03,,,América,2026-05-17T20:16:52.544+00:00,,Ramón Juárez,,,3835,,,Ramón Juárez,Mexico,,,DF,,,ramon-juarez,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:56.473+00:00,
,,,2002-01-31,,,Tijuana,2026-05-17T20:16:53.07+00:00,,Alejandro Gómez,,,3837,,,Alejandro Gómez,Mexico,,,DF,,,alejandro-gomez,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:57.04+00:00,
,,,1997-10-24,,,Fenerbahçe,2026-05-17T20:16:53.673+00:00,,Edson Álvarez ( captain ),,,3839,,,Edson Álvarez ( captain ),Mexico,,,MF,,,edson-alvarez-captain,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:57.566+00:00,
,,,1997-01-03,,,Cruz Azul,2026-05-17T20:16:54.54+00:00,,Carlos Rodríguez,,,3841,,,Carlos Rodríguez,Mexico,,,MF,,,carlos-rodriguez,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:58.122+00:00,
,,,1995-06-05,,,Guadalajara,2026-05-17T20:16:55.666+00:00,,Luis Romo,,,3843,,,Luis Romo,Mexico,,,MF,,,luis-romo,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:58.67+00:00,
,,,1999-09-27,,,América,2026-05-17T20:16:56.28+00:00,,Érick Sánchez,,,3845,,,Érick Sánchez,Mexico,,,MF,,,erick-sanchez,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:59.199+00:00,
,,,2000-05-08,,,Cruz Azul,2026-05-17T20:16:57.199+00:00,,Érik Lira,,,3847,,,Érik Lira,Mexico,,,MF,,,erik-lira,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,14,2026-05-17T20:23:59.808+00:00,
