id,match_number,stage,stage_label,group_letter,home_team,away_team,home_team_id,away_team_id,home_placeholder,away_placeholder,city,country,stadium_name,kickoff_at
1,1,GROUP,Fase de Grupos,,Mexico,Sudafrica,,,Mexico,Sudafrica,Ciudad de Mexico,Mexico,Estadio Azteca,2026-06-11T19:00:00+00:00
2,2,GROUP,Fase de Grupos,,Corea del Sur,Republica Checa,,,Corea del Sur,Republica Checa,Guadalajara,Mexico,Estadio Akron,2026-06-12T02:00:00+00:00
7,3,GROUP,Fase de Grupos,,Canada,Bosnia,,,Canada,Bosnia,Toronto,Canada,BMO Field,2026-06-12T19:00:00+00:00
19,4,GROUP,Fase de Grupos,,Estados Unidos,Paraguay,,,Estados Unidos,Paraguay,Los Angeles,USA,SoFi Stadium,2026-06-13T01:00:00+00:00
8,5,GROUP,Fase de Grupos,,Qatar,Suiza,,,Qatar,Suiza,San Francisco,USA,Levi's Stadium,2026-06-13T19:00:00+00:00
13,6,GROUP,Fase de Grupos,,Brasil,Marruecos,,,Brasil,Marruecos,Nueva Jersey,USA,MetLife Stadium,2026-06-13T22:00:00+00:00
14,7,GROUP,Fase de Grupos,,Haiti,Escocia,,,Haiti,Escocia,Boston,USA,Gillette Stadium,2026-06-14T01:00:00+00:00
20,8,GROUP,Fase de Grupos,,Australia,Turquia,,,Australia,Turquia,Vancouver,Canada,BC Place,2026-06-14T04:00:00+00:00
25,9,GROUP,Fase de Grupos,,Alemania,Curazao,,,Alemania,Curazao,Houston,USA,NRG Stadium,2026-06-14T17:00:00+00:00
31,10,GROUP,Fase de Grupos,,Paises Bajos,Japon,,,Paises Bajos,Japon,Dallas,USA,AT&T Stadium,2026-06-14T20:00:00+00:00
26,11,GROUP,Fase de Grupos,,Costa de Marfil,Ecuador,,,Costa de Marfil,Ecuador,Filadelfia,USA,Lincoln Financial Field,2026-06-14T23:00:00+00:00
32,12,GROUP,Fase de Grupos,,Suecia,Tunez,,,Suecia,Tunez,Monterrey,Mexico,Estadio BBVA,2026-06-15T03:00:00+00:00
43,13,GROUP,Fase de Grupos,,Espana,Cabo Verde,,,Espana,Cabo Verde,Atlanta,USA,Mercedes-Benz Stadium,2026-06-15T16:00:00+00:00
37,14,GROUP,Fase de Grupos,,Belgica,Egipto,,,Belgica,Egipto,Seattle,USA,Lumen Field,2026-06-15T19:00:00+00:00
44,15,GROUP,Fase de Grupos,,Arabia Saudita,Uruguay,,,Arabia Saudita,Uruguay,Miami,USA,Hard Rock Stadium,2026-06-15T22:00:00+00:00
38,16,GROUP,Fase de Grupos,,Iran,Nueva Zelanda,,,Iran,Nueva Zelanda,Los Angeles,USA,SoFi Stadium,2026-06-16T01:00:00+00:00
49,17,GROUP,Fase de Grupos,,Francia,Senegal,,,Francia,Senegal,Nueva Jersey,USA,MetLife Stadium,2026-06-16T19:00:00+00:00
50,18,GROUP,Fase de Grupos,,Irak,Noruega,,,Irak,Noruega,Boston,USA,Gillette Stadium,2026-06-16T22:00:00+00:00
55,19,GROUP,Fase de Grupos,,Argentina,Argelia,,,Argentina,Argelia,Kansas City,USA,Arrowhead Stadium,2026-06-17T01:00:00+00:00
56,20,GROUP,Fase de Grupos,,Austria,Jordania,,,Austria,Jordania,San Francisco,USA,Levi's Stadium,2026-06-17T04:00:00+00:00
61,21,GROUP,Fase de Grupos,,Portugal,RD Congo,,,Portugal,RD Congo,Houston,USA,NRG Stadium,2026-06-17T17:00:00+00:00
67,22,GROUP,Fase de Grupos,,Inglaterra,Croacia,,,Inglaterra,Croacia,Dallas,USA,AT&T Stadium,2026-06-17T20:00:00+00:00
68,23,GROUP,Fase de Grupos,,Ghana,Panama,,,Ghana,Panama,Toronto,Canada,BMO Field,2026-06-17T23:00:00+00:00
62,24,GROUP,Fase de Grupos,,Uzbekistan,Colombia,,,Uzbekistan,Colombia,Ciudad de Mexico,Mexico,Estadio Azteca,2026-06-18T02:00:00+00:00
3,25,GROUP,Fase de Grupos,,Republica Checa,Sudafrica,,,Republica Checa,Sudafrica,Atlanta,USA,Mercedes-Benz Stadium,2026-06-18T17:00:00+00:00
9,26,GROUP,Fase de Grupos,,Suiza,Bosnia,,,Suiza,Bosnia,Los Angeles,USA,SoFi Stadium,2026-06-18T20:00:00+00:00
10,27,GROUP,Fase de Grupos,,Canada,Qatar,,,Canada,Qatar,Vancouver,Canada,BC Place,2026-06-18T23:00:00+00:00
4,28,GROUP,Fase de Grupos,,Mexico,Corea del Sur,,,Mexico,Corea del Sur,Guadalajara,Mexico,Estadio Akron,2026-06-19T02:00:00+00:00
21,29,GROUP,Fase de Grupos,,Estados Unidos,Australia,,,Estados Unidos,Australia,Seattle,USA,Lumen Field,2026-06-19T19:00:00+00:00
15,30,GROUP,Fase de Grupos,,Escocia,Marruecos,,,Escocia,Marruecos,Boston,USA,Gillette Stadium,2026-06-19T22:00:00+00:00
16,31,GROUP,Fase de Grupos,,Brasil,Haiti,,,Brasil,Haiti,Filadelfia,USA,Lincoln Financial Field,2026-06-20T00:30:00+00:00
22,32,GROUP,Fase de Grupos,,Turquia,Paraguay,,,Turquia,Paraguay,San Francisco,USA,Levi's Stadium,2026-06-20T03:00:00+00:00
33,33,GROUP,Fase de Grupos,,Paises Bajos,Suecia,,,Paises Bajos,Suecia,Houston,USA,NRG Stadium,2026-06-20T18:00:00+00:00
27,34,GROUP,Fase de Grupos,,Alemania,Costa de Marfil,,,Alemania,Costa de Marfil,Toronto,Canada,BMO Field,2026-06-20T21:00:00+00:00
28,35,GROUP,Fase de Grupos,,Curazao,Ecuador,,,Curazao,Ecuador,Kansas City,USA,Arrowhead Stadium,2026-06-21T01:00:00+00:00
34,36,GROUP,Fase de Grupos,,Japon,Tunez,,,Japon,Tunez,Monterrey,Mexico,Estadio BBVA,2026-06-21T05:00:00+00:00
45,37,GROUP,Fase de Grupos,,Espana,Arabia Saudita,,,Espana,Arabia Saudita,Atlanta,USA,Mercedes-Benz Stadium,2026-06-21T16:00:00+00:00
39,38,GROUP,Fase de Grupos,,Belgica,Iran,,,Belgica,Iran,Los Angeles,USA,SoFi Stadium,2026-06-21T19:00:00+00:00
46,39,GROUP,Fase de Grupos,,Cabo Verde,Uruguay,,,Cabo Verde,Uruguay,Miami,USA,Hard Rock Stadium,2026-06-21T22:00:00+00:00
