id,team_id,team_slug,name,slug,position,club,nationality,source_url,status,reason,action
3819,14,mexico,José Antonio Rodríguez,jose-antonio-rodriguez,GK,Tijuana,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3821,14,mexico,Alex Padilla,alex-padilla,GK,Athletic Bilbao,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3823,14,mexico,César Montes,cesar-montes,DF,Lokomotiv Moscow,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3825,14,mexico,Johan Vásquez,johan-vasquez,DF,Genoa,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3827,14,mexico,Jesús Alberto Angulo,jesus-alberto-angulo,DF,UANL,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3829,14,mexico,Mateo Chávez,mateo-chavez,DF,AZ,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3831,14,mexico,Richard Ledezma,richard-ledezma,DF,Guadalajara,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3833,14,mexico,Denzell García,denzell-garcia,DF,Juárez,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3835,14,mexico,Ramón Juárez,ramon-juarez,DF,América,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3837,14,mexico,Alejandro Gómez,alejandro-gomez,DF,Tijuana,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3839,14,mexico,Edson Álvarez ( captain ),edson-alvarez-captain,MF,Fenerbahçe,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3841,14,mexico,Carlos Rodríguez,carlos-rodriguez,MF,Cruz Azul,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
