source,team_slug,team_name,name,slug,position,club,date_of_birth,nationality,source_url,matched_player_id,matched_player_name,match_confidence,status,notes
Wikipedia,mexico,Mexico,Guillermo Ochoa,guillermo-ochoa,GK,AEL Limassol,"( 1985-07-13 ) July 13, 1985 (aged 40)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 1 GK | Guillermo Ochoa | ( 1985-07-13 ) July 13, 1985 (aged 40) | 151 | 0 | AEL Limassol"
Wikipedia,mexico,Mexico,Raúl Rangel,raul-rangel,GK,Guadalajara,"( 2000-02-25 ) February 25, 2000 (aged 26)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 1 GK | Raúl Rangel | ( 2000-02-25 ) February 25, 2000 (aged 26) | 11 | 0 | Guadalajara"
Wikipedia,mexico,Mexico,Carlos Acevedo,carlos-acevedo,GK,Santos Laguna,"( 1996-04-19 ) April 19, 1996 (aged 30)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 1 GK | Carlos Acevedo | ( 1996-04-19 ) April 19, 1996 (aged 30) | 6 | 0 | Santos Laguna"
Wikipedia,mexico,Mexico,José Antonio Rodríguez,jose-antonio-rodriguez,GK,Tijuana,"( 1992-07-04 ) July 4, 1992 (aged 33)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 1 GK | José Antonio Rodríguez | ( 1992-07-04 ) July 4, 1992 (aged 33) | 2 | 0 | Tijuana"
Wikipedia,mexico,Mexico,Carlos Moreno,carlos-moreno,GK,Pachuca,"( 1998-01-29 ) January 29, 1998 (aged 28)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 1 GK | Carlos Moreno | ( 1998-01-29 ) January 29, 1998 (aged 28) | 0 | 0 | Pachuca"
Wikipedia,mexico,Mexico,Alex Padilla,alex-padilla,GK,Athletic Bilbao,"( 2003-09-01 ) September 1, 2003 (aged 22)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 1 GK | Alex Padilla | ( 2003-09-01 ) September 1, 2003 (aged 22) | 0 | 0 | Athletic Bilbao"
Wikipedia,mexico,Mexico,Jesús Gallardo,jesus-gallardo,DF,Toluca,"( 1994-08-15 ) August 15, 1994 (aged 31)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2783,JESUS GALLARDO,99,matched_pending_review,"raw= | 2 DF | Jesús Gallardo | ( 1994-08-15 ) August 15, 1994 (aged 31) | 118 | 3 | Toluca"
Wikipedia,mexico,Mexico,César Montes,cesar-montes,DF,Lokomotiv Moscow,"( 1997-02-24 ) February 24, 1997 (aged 29)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2804,CESAR MONTES,99,matched_pending_review,"raw= | 2 DF | César Montes | ( 1997-02-24 ) February 24, 1997 (aged 29) | 65 | 4 | Lokomotiv Moscow"
Wikipedia,mexico,Mexico,Jorge Sánchez,jorge-sanchez,DF,PAOK,"( 1997-12-10 ) December 10, 1997 (aged 28)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2812,JORGE SANGHEZ,92,matched_pending_review,"raw= | 2 DF | Jorge Sánchez | ( 1997-12-10 ) December 10, 1997 (aged 28) | 56 | 3 | PAOK"
Wikipedia,mexico,Mexico,Johan Vásquez,johan-vasquez,DF,Genoa,"( 1998-10-22 ) October 22, 1998 (aged 27)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 2 DF | Johan Vásquez | ( 1998-10-22 ) October 22, 1998 (aged 27) | 44 | 1 | Genoa"
Wikipedia,mexico,Mexico,Israel Reyes,israel-reyes,DF,América,"( 2000-05-23 ) May 23, 2000 (aged 26)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2808,ISRAEL REVES,92,matched_pending_review,"raw= | 2 DF | Israel Reyes | ( 2000-05-23 ) May 23, 2000 (aged 26) | 31 | 2 | América"
Wikipedia,mexico,Mexico,Jesús Alberto Angulo,jesus-alberto-angulo,DF,UANL,"( 1998-01-30 ) January 30, 1998 (aged 28)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 2 DF | Jesús Alberto Angulo | ( 1998-01-30 ) January 30, 1998 (aged 28) | 19 | 0 | UANL"
Wikipedia,mexico,Mexico,Julián Araujo,julian-araujo,DF,Celtic,"( 2001-08-13 ) August 13, 2001 (aged 24)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 2 DF | Julián Araujo | ( 2001-08-13 ) August 13, 2001 (aged 24) | 16 | 0 | Celtic"
Wikipedia,mexico,Mexico,Mateo Chávez,mateo-chavez,DF,AZ,"( 2004-05-11 ) May 11, 2004 (aged 22)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 2 DF | Mateo Chávez | ( 2004-05-11 ) May 11, 2004 (aged 22) | 7 | 0 | AZ"
Wikipedia,mexico,Mexico,Víctor Guzmán,victor-guzman,DF,Monterrey,"( 2002-03-07 ) March 7, 2002 (aged 24)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 2 DF | Víctor Guzmán | ( 2002-03-07 ) March 7, 2002 (aged 24) | 6 | 0 | Monterrey"
